"count";"username";"datetime";"text"
"147";"arash_tolouei";"00:10:37 11-01-2021";"واقعا جالب و کم نظیره👍👍👍"
"148";"adambarfi207i";"00:42:36 11-01-2021";"پیشرفت با ملی پلاس"
"149";"adambarfi207i";"00:43:40 11-01-2021";"اعتماد با ملی پلاس"
"150";"adambarfi207i";"00:44:04 11-01-2021";"فردا با ملی پلاس"
"151";"adambarfi207i";"00:44:14 11-01-2021";"عالیه"
"152";"adambarfi207i";"00:44:27 11-01-2021";"خیلی خوبه"
"153";"sodabehsoltani47";"00:52:10 11-01-2021";"بسیار عالی خدا قوت"
"154";"mehdishirmohammadi72";"01:33:18 11-01-2021";"خيلي عالي و زيباست،رنگ بندي صندلي ها واقعا خيلي تاثيرگذاره💙💙💙💙 خسته نباشيد به همه تلاشگران بانكداري نوين"
"155";"hami.salmani";"01:34:53 11-01-2021";"فرصت عالی"
"156";"hami.salmani";"01:34:59 11-01-2021";"بهترین"
"157";"hami.salmani";"01:35:09 11-01-2021";".💌💌💌💌💌"
"158";"hami.salmani";"01:38:20 11-01-2021";"بانک ملی یعنی اعتبار💌💌"
"159";"hami.salmani";"01:38:34 11-01-2021";"اعتماد"
"160";"hami.salmani";"01:39:19 11-01-2021";"حس خوب اعتماد"
"161";"hami.salmani";"01:39:24 11-01-2021";"👏👏👏👏"
"162";"hami.salmani";"01:39:26 11-01-2021";"🌺🌺🌺🌺"
"163";"hami.salmani";"01:39:28 11-01-2021";"💞💞💞"
"164";"hami.salmani";"01:39:34 11-01-2021";"💙💙💙💙"
"165";"hami.salmani";"01:39:38 11-01-2021";"❤️❤️"
"166";"hami.salmani";"01:42:30 11-01-2021";"بهترین"
"167";"hami.salmani";"01:42:35 11-01-2021";"بی نظیر"
"168";"hami.salmani";"01:42:42 11-01-2021";"عالیه"
"169";"artin_nasirpour";"01:50:31 11-01-2021";"بسیار جذاب و مدرن. آرزوی موفقیت بیشتر وارتقا کیفیت در همه جای ایران عزیز رو دارم. تبریک تبریک و خسته نباشید👏👏👏"
"170";"solmaz_poorfahim1369";"04:40:45 11-01-2021";"شعبه تون واقعا عالیه ، نوآوری و ابتکار و ایده جدید هستش بی‌نظیر است"
"171";"solmaz_poorfahim1369";"04:41:11 11-01-2021";"@elham_ydf"
"172";"sj40435283";"05:42:41 11-01-2021";"کاش در همه شهرها وجود داشت.بی نظیره @ft200083"
"173";"sjfooo";"05:44:10 11-01-2021";"افزایش اعتماد و اعتمادسازی قابل توجه است. @ftzhasa"
"174";"sj405405405405";"05:45:17 11-01-2021";"وجود و انجام همه خدمات اش جالب است. @ssssaydjafar1400"
"175";"farsahnoori1352";"05:50:14 11-01-2021";"واقعا آدم به راحتی کار آیندگان حسودی اش می گیره. @amiralisah619"
"176";"dj_jm64";"06:21:54 11-01-2021";"بهترین حس اینکه که بتونی از به روز ترین امکانات و فناوری روز دنیا در کنار اعتماد استفاده کنی که بانک ملی اونو فراهم کرده بسیار عالی🌹🌹"
"177";"soltani.mobin70";"06:55:54 11-01-2021";"کار قشنگیه"
"178";"soltani.mobin70";"06:56:43 11-01-2021";"ملی پلاس انقلابی در شعب بانکی❤️"
"179";"soltani.mobin70";"06:57:35 11-01-2021";"خیلی خوبه باید یه خدا قوت به عوامل اجرایی این کار گفت"
"180";"soltani.mobin70";"06:57:39 11-01-2021";"💙💙💙💙💙💙💙💙"
"181";"soltani.mobin70";"06:57:45 11-01-2021";"فوق‌العاده"
"182";"soltani.mobin70";"06:57:49 11-01-2021";"عالیه"
"183";"soltani.mobin70";"06:57:53 11-01-2021";"بی نظیر"
"184";"soltani.mobin70";"06:59:13 11-01-2021";"واقعا بانک ملی یک بانک نمونه هستش"
"185";"soltani.mobin70";"07:00:18 11-01-2021";"واقعا باعث افتخاره"
"186";"soltani.mobin70";"07:00:49 11-01-2021";"طراحی این مجموعه عالیه"
"187";"soltani.mobin70";"07:01:23 11-01-2021";"اعتماد اینجاست ملی پلاس"
"188";"the_black_world2021";"07:14:58 11-01-2021";"ملی پلاس چه با کلاس,،🥰😍 یک حرف و خلاص آینده فقط اینجاس😍😍"
"189";"silent_of_sky";"07:23:37 11-01-2021";"واقعا این طراحی مدرن باعث تشویق هرچه بیشتر مشتریان جهت انتخاب بانک ملی برای همراهی است.👏👏👏"
"190";"myd_shhydy";"08:02:12 11-01-2021";"سلام"
"191";"zrosta27";"08:02:39 11-01-2021";"عالیییبیه خوش به حالشون ما که توی یه سوئیت کوچیک هستیم💖👏🌷💖👏😍🌹👏👏👏👏👏💖💖💖💖💖💖💖🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷👏👏👏👏👏👏👏👏👏👏👏👏👏👏😍😍😍😍😍😍😍😍😍😍😍😍😍"
"192";"alilotfii1958";"08:03:57 11-01-2021";"@zrosta27"
"193";"bsky19558";"08:04:44 11-01-2021";"مثل همیشه بهترین"
"194";"alilotfii1958";"08:04:51 11-01-2021";"خیلی خوبه حتما میاییم سری میزنیم"
"195";"myd_shhydy";"08:05:00 11-01-2021";"واقعا زیباست بانک ملی همیشه دوست داشتنی بوده چون همیشه وقتی وقتی رفتم بانک ملی همیشه احساس امنیت کردم مثل سایر بانکها هیچوقت دلال به نظر نمیرسه"
